Be7_Inj	Be7_Rec	Be7_RMS	pep_Inj	pep_Rec	pep_RMS	Bi210_Inj	Bi210_Rec	Bi210_RMS	K40_Inj	K40_Rec	K40_RMS	Kr85_Inj	Kr85_Rec	Kr85_RMS	U238_Inj	U238_Rec	U238_RMS	Th232_Inj	Th232_Rec	Th232_RMS	Po210_Inj	Po210_Rec	Po210_RMS	CNO_Inj	CNO_Rec	CNO_RMS	C10_2_Inj	C10_2_Rec	C10_2_RMS	He6_2_Inj	He6_2_Rec	He6_2_RMS	C11_Inj	C11_Rec	C11_RMS	C11_2_Inj	C11_2_Rec	C11_2_RMS	Chi2NDF
49.043	49.0707	0.22745	2.79909	2.71211	0.191536	120.294	118.249	1.23956	22.9061	22.8051	0.0912644	49.9942	49.4567	0.522317	150.493	150.546	0.171698	35.0657	35.08	0.0852409	122.094	122.09	0.0375239	5.04197	8.10711	1.99322	3.69981	0.000134074	14.6773	2.80221	2.88127	0.296314	19.1432	19.1001	0.043432	593.921	593.831	0.150617	43940.6
49.0024	48.9455	0.223261	2.79768	2.80325	0.178319	120.274	120.191	1.15145	22.8905	22.9609	0.0911699	50.0101	50.7997	0.507066	150.459	150.394	0.171323	35.0869	35.1643	0.0852006	122.122	122.09	0.0376131	5.033	4.89284	1.84091	3.70395	7.45362	3.3765	2.79854	2.57541	0.296114	19.172	19.1599	0.0424644	594.006	594.055	0.150218	44209.7
48.981	49.0062	0.234399	2.80798	2.94469	0.211555	120.276	120.092	1.39099	22.9225	23.0729	0.0916087	49.993	50.4681	0.545919	150.549	150.435	0.172143	35.0828	35.1958	0.0855051	122.135	122.155	0.0375316	5.01737	4.58497	2.2424	3.69089	5.21233	3.35892	2.80329	2.31225	0.296579	19.1399	19.0776	0.0452833	594.033	594.153	0.151479	43991.2
48.9858	48.9391	0.223499	2.80145	2.82353	0.179248	120.356	120.743	1.1569	22.8925	22.7678	0.0905461	49.9866	50.0532	0.509926	150.516	150.266	0.171241	35.0643	35.0022	0.0847843	122.062	122.072	0.0375254	5.01901	5.20829	1.85298	3.70646	2.64838	3.38842	2.79793	2.29159	0.296457	19.1513	19.1844	0.0424458	593.946	594.18	0.148869	44084.4
48.9859	49.1029	0.222267	2.80309	2.94813	0.175138	120.28	120.947	1.10894	22.9059	22.8609	0.0910617	50.0042	50.2846	0.504233	150.503	150.675	0.171379	35.072	35.1298	0.0851253	122.099	122.095	0.0375273	5.02778	3.42698	1.77067	3.69695	5.30017	3.35881	2.80101	3.56947	0.296385	19.1483	19.1438	0.0418571	594.002	593.724	0.149631	44093.3
49.0025	49.368	0.229258	2.79965	3.20452	0.196478	120.325	122.648	1.28122	22.9028	22.821	0.0914658	50.0047	49.9787	0.528817	150.508	150.419	0.172201	35.0698	34.969	0.0854846	122.134	122.192	0.0373534	5.03215	1.28576	2.03299	3.70505	2.14628	3.32568	2.79994	2.89916	0.297933	19.1437	19.2099	0.0438944	594.024	594.126	0.150642	44010.4
49.0407	49.0423	0.223249	2.803	2.41148	0.176844	120.301	119.125	1.14392	22.9018	22.8783	0.0897738	50.0115	49.2466	0.50598	150.452	150.472	0.167724	35.0783	34.8998	0.0839498	122.15	122.178	0.0375185	5.0347	7.67762	1.83916	3.70446	2.74607	3.25076	2.79723	2.863	0.293426	19.1506	19.1719	0.0419028	593.931	593.941	0.150538	43924.7
48.9981	49.1127	0.222856	2.79916	2.82246	0.180594	120.244	118.664	1.148	22.9082	22.8669	0.091205	49.9899	49.197	0.508928	150.516	150.48	0.171421	35.0822	35.0072	0.0851499	122.081	122.092	0.0375107	5.03483	7.49809	1.8521	3.69205	10.6392	3.37231	2.79789	2.72159	0.29742	19.1643	19.1099	0.0421592	594.092	594.019	0.150447	43998.1
49.0298	49.3852	0.266957	2.80105	2.91085	0.263001	120.331	121.584	1.70392	22.8985	22.965	0.0911502	50.0134	49.893	0.655258	150.524	150.481	0.178247	35.0687	35.0712	0.0881794	122.127	122.149	0.0377047	5.03019	2.8807	2.8493	3.69348	1.72099	3.17333	2.80129	2.31807	0.346072	19.1565	19.1851	0.0475943	593.864	594.082	0.147675	43945.8
49.0087	48.7902	0.218913	2.79516	2.80396	0.163347	120.305	119.74	1.0174	22.8955	23.0529	0.0901168	50.0161	50.5757	0.482211	150.516	150.66	0.170219	35.0682	35.2339	0.0846901	122.13	122.123	0.0378067	5.02575	4.94669	1.61946	3.69983	1.89615	3.3951	2.79373	2.93722	0.295139	19.1513	19.0741	0.0411007	593.997	593.914	0.151148	44034.5
